Actor,Month,Year
AFG,1,1995
AFG,2,1995
AFG,3,1995
AFG,4,1995
AFG,5,1995
AFG,6,1995
AFG,7,1995
AFG,8,1995
AFG,9,1995
AFG,10,1995
AFG,11,1995
AFG,12,1995
ALB,1,1995
ALB,2,1995
ALB,3,1995
ALB,4,1995
ALB,5,1995
ALB,6,1995
ALB,7,1995
ALB,8,1995
ALB,9,1995
ALB,10,1995
ALB,11,1995
ALB,12,1995
DZA,1,1995
DZA,2,1995
DZA,3,1995
DZA,4,1995
DZA,5,1995
DZA,6,1995
DZA,7,1995
DZA,8,1995
DZA,9,1995
DZA,10,1995
DZA,11,1995
DZA,12,1995
AND,1,1995
AND,2,1995
AND,3,1995
AND,4,1995
AND,5,1995
AND,6,1995
AND,7,1995
AND,8,1995
AND,9,1995
AND,10,1995
AND,11,1995
AND,12,1995
AGO,1,1995
AGO,2,1995
AGO,3,1995
AGO,4,1995
AGO,5,1995
AGO,6,1995
AGO,7,1995
AGO,8,1995
AGO,9,1995
AGO,10,1995
AGO,11,1995
AGO,12,1995
ATG,1,1995
ATG,2,1995
ATG,3,1995
ATG,4,1995
ATG,5,1995
ATG,6,1995
ATG,7,1995
ATG,8,1995
ATG,9,1995
ATG,10,1995
ATG,11,1995
ATG,12,1995
ARG,1,1995
ARG,2,1995
ARG,3,1995
ARG,4,1995
ARG,5,1995
ARG,6,1995
ARG,7,1995
ARG,8,1995
ARG,9,1995
ARG,10,1995
ARG,11,1995
ARG,12,1995
ARM,1,1995
ARM,2,1995
ARM,3,1995
ARM,4,1995
ARM,5,1995
ARM,6,1995
ARM,7,1995
ARM,8,1995
ARM,9,1995
ARM,10,1995
ARM,11,1995
ARM,12,1995
AUS,1,1995
AUS,2,1995
AUS,3,1995
AUS,4,1995
AUS,5,1995
AUS,6,1995
AUS,7,1995
AUS,8,1995
AUS,9,1995
AUS,10,1995
AUS,11,1995
AUS,12,1995
AUT,1,1995
AUT,2,1995
AUT,3,1995
AUT,4,1995
AUT,5,1995
AUT,6,1995
AUT,7,1995
AUT,8,1995
AUT,9,1995
AUT,10,1995
AUT,11,1995
AUT,12,1995
AZE,1,1995
AZE,2,1995
AZE,3,1995
AZE,4,1995
AZE,5,1995
AZE,6,1995
AZE,7,1995
AZE,8,1995
AZE,9,1995
AZE,10,1995
AZE,11,1995
AZE,12,1995
BHS,1,1995
BHS,2,1995
BHS,3,1995
BHS,4,1995
BHS,5,1995
BHS,6,1995
BHS,7,1995
BHS,8,1995
BHS,9,1995
BHS,10,1995
BHS,11,1995
BHS,12,1995
BHR,1,1995
BHR,2,1995
BHR,3,1995
BHR,4,1995
BHR,5,1995
BHR,6,1995
BHR,7,1995
BHR,8,1995
BHR,9,1995
BHR,10,1995
BHR,11,1995
BHR,12,1995
BGD,1,1995
BGD,2,1995
BGD,3,1995
BGD,4,1995
BGD,5,1995
BGD,6,1995
BGD,7,1995
BGD,8,1995
BGD,9,1995
BGD,10,1995
BGD,11,1995
BGD,12,1995
BRB,1,1995
BRB,2,1995
BRB,3,1995
BRB,4,1995
BRB,5,1995
BRB,6,1995
BRB,7,1995
BRB,8,1995
BRB,9,1995
BRB,10,1995
BRB,11,1995
BRB,12,1995
BLR,1,1995
BLR,2,1995
BLR,3,1995
BLR,4,1995
BLR,5,1995
BLR,6,1995
BLR,7,1995
BLR,8,1995
BLR,9,1995
BLR,10,1995
BLR,11,1995
BLR,12,1995
BEL,1,1995
BEL,2,1995
BEL,3,1995
BEL,4,1995
BEL,5,1995
BEL,6,1995
BEL,7,1995
BEL,8,1995
BEL,9,1995
BEL,10,1995
BEL,11,1995
BEL,12,1995
BLZ,1,1995
BLZ,2,1995
BLZ,3,1995
BLZ,4,1995
BLZ,5,1995
BLZ,6,1995
BLZ,7,1995
BLZ,8,1995
BLZ,9,1995
BLZ,10,1995
BLZ,11,1995
BLZ,12,1995
BEN,1,1995
BEN,2,1995
BEN,3,1995
BEN,4,1995
BEN,5,1995
BEN,6,1995
BEN,7,1995
BEN,8,1995
BEN,9,1995
BEN,10,1995
BEN,11,1995
BEN,12,1995
BTN,1,1995
BTN,2,1995
BTN,3,1995
BTN,4,1995
BTN,5,1995
BTN,6,1995
BTN,7,1995
BTN,8,1995
BTN,9,1995
BTN,10,1995
BTN,11,1995
BTN,12,1995
BOL,1,1995
BOL,2,1995
BOL,3,1995
BOL,4,1995
BOL,5,1995
BOL,6,1995
BOL,7,1995
BOL,8,1995
BOL,9,1995
BOL,10,1995
BOL,11,1995
BOL,12,1995
BIH,1,1995
BIH,2,1995
BIH,3,1995
BIH,4,1995
BIH,5,1995
BIH,6,1995
BIH,7,1995
BIH,8,1995
BIH,9,1995
BIH,10,1995
BIH,11,1995
BIH,12,1995
BWA,1,1995
BWA,2,1995
BWA,3,1995
BWA,4,1995
BWA,5,1995
BWA,6,1995
BWA,7,1995
BWA,8,1995
BWA,9,1995
BWA,10,1995
BWA,11,1995
BWA,12,1995
BRA,1,1995
BRA,2,1995
BRA,3,1995
BRA,4,1995
BRA,5,1995
BRA,6,1995
BRA,7,1995
BRA,8,1995
BRA,9,1995
BRA,10,1995
BRA,11,1995
BRA,12,1995
BRN,1,1995
BRN,2,1995
BRN,3,1995
BRN,4,1995
BRN,5,1995
BRN,6,1995
BRN,7,1995
BRN,8,1995
BRN,9,1995
BRN,10,1995
BRN,11,1995
BRN,12,1995
BGR,1,1995
BGR,2,1995
BGR,3,1995
BGR,4,1995
BGR,5,1995
BGR,6,1995
BGR,7,1995
BGR,8,1995
BGR,9,1995
BGR,10,1995
BGR,11,1995
BGR,12,1995
BFA,1,1995
BFA,2,1995
BFA,3,1995
BFA,4,1995
BFA,5,1995
BFA,6,1995
BFA,7,1995
BFA,8,1995
BFA,9,1995
